"Year","state","stateID","type","obs","pred.mean","pred.lower","pred.upper"
2008,"Alabama",1,"farm_knumber",0.031,0.023,0.011,0.046
2008,"Alabama",1,"farm_kha",0.438,0.569,0.202,1.624
2008,"Alabama",1,"farm_msales",NA,0.944,0.315,2.887
2008,"Alaska",2,"farm_knumber",0.016,0.013,0.006,0.027
2008,"Alaska",2,"farm_kha",0.179,0.144,0.047,0.44
2008,"Alaska",2,"farm_msales",0.55696,0.578,0.189,1.775
2008,"Arizona",3,"farm_knumber",0.063,0.059,0.029,0.115
2008,"Arizona",3,"farm_kha",8.501,7.53,2.632,21.414
2008,"Arizona",3,"farm_msales",49.65086,54.307,19.55,149.306
2008,"Arkansas",4,"farm_knumber",0.036,0.052,0.026,0.104
2008,"Arkansas",4,"farm_kha",2.553,1.572,0.55,4.393
2008,"Arkansas",4,"farm_msales",15.16064,13.404,4.74,38.017
2008,"California",5,"farm_knumber",2.714,2.773,1.386,5.496
2008,"California",5,"farm_kha",190.649,214.832,74.511,612.164
2008,"California",5,"farm_msales",1355.407,1131.306,405.846,3174.88
2008,"Colorado",6,"farm_knumber",0.22,0.205,0.101,0.415
2008,"Colorado",6,"farm_kha",62.34,45.708,15.8,129.283
2008,"Colorado",6,"farm_msales",82.87258,72.975,26.049,200.147
2008,"Connecticut",7,"farm_knumber",0.082,0.084,0.042,0.171
2008,"Connecticut",7,"farm_kha",0.454,0.577,0.203,1.655
2008,"Connecticut",7,"farm_msales",6.09234,3.157,1.166,8.688
2008,"Delaware",8,"farm_knumber",0.008,0.008,0.004,0.015
2008,"Delaware",8,"farm_kha",0.105,0.097,0.033,0.273
2008,"Delaware",8,"farm_msales",NA,0.784,0.257,2.357
2008,"Florida",9,"farm_knumber",0.172,0.153,0.077,0.305
2008,"Florida",9,"farm_kha",3.271,4.251,1.489,11.882
2008,"Florida",9,"farm_msales",51.212,35.002,12.503,96.547
2008,"Georgia",10,"farm_knumber",0.103,0.108,0.054,0.215
2008,"Georgia",10,"farm_kha",1.836,2.031,0.73,5.818
2008,"Georgia",10,"farm_msales",6.89828,11.851,4.233,32.951
2008,"Hawaii",11,"farm_knumber",0.338,0.18,0.091,0.357
2008,"Hawaii",11,"farm_kha",4.273,1.688,0.578,4.745
2008,"Hawaii",11,"farm_msales",11.89204,7.621,2.724,21.073
2008,"Idaho",12,"farm_knumber",0.254,0.209,0.103,0.419
2008,"Idaho",12,"farm_kha",60.091,47.505,16.709,132.821
2008,"Idaho",12,"farm_msales",84.075,53.645,19.337,147.091
2008,"Illinois",13,"farm_knumber",0.229,0.247,0.123,0.49
2008,"Illinois",13,"farm_kha",12.414,13.024,4.572,37.301
2008,"Illinois",13,"farm_msales",27.81378,25.949,9.271,72.024
2008,"Indiana",14,"farm_knumber",0.148,0.335,0.167,0.667
2008,"Indiana",14,"farm_kha",5.271,9.713,3.353,28.389
2008,"Indiana",14,"farm_msales",16.37486,34.554,12.416,96.931
2008,"Iowa",15,"farm_knumber",0.518,0.673,0.334,1.334
